Astro1	Olig1,Gfap,Hepacam,Cxcl14,Apoe,Aldoc
Astro2	Plp1,Olig1,Reln,Cxcl14,Hepacam,Apoe,Aldoc,Gfap
COPs	Olig1,C1ql1,Olig2,Neu4,Plp1
ChorPlex	Hydin,Riiad1,Apoe,Foxj1,Slc4a5,Sostdc1,Aqp1
DivOPCs	Neu4,Cxcl14,C1ql1,Olig1,Olig2,Rrm2,Pdgfra,Top2a,Ccna2
Endo	Top2a,Ccna2,Kcnj8,Ptprb,Cldn5
Ependymal	Aldoc,Gfap,Reln,Hepacam,Top2a,Apoe,Npy,Hydin,Riiad1,Foxj1
ExcitNeuron1	Npy,Dcn,Bhlhe22,Grin2b,Neurod6
ExcitNeuron2	Dcn,Igfbpl1,Bhlhe22,Neurod6,Grin2b
ExcitNeuron3	Bhlhe22,Grin2b,Calb2,Neurod6
GranuleNB1	Npy,Dcn,Sst,Igfbpl1,Neurod6,Neurod1,Grin2b,Bhlhe22
GranuleNB2	Grin2b,Neurod6,Bhlhe22,Calb2,Igfbpl1,Neurod1
GranuleNB3	Hydin,Bhlhe22,Neurod6,Calb2,Neurod1,Igfbpl1
InhibNeuron1	Cxcl14,Grin2b,Reln,Sp9,Sst,Npy,Slc32a1,Gad2,Lhx6
InhibNeuron2	Reln,Grin2b,Igfbpl1,Slc32a1,Gad2,Sp9
InhibNeuron3	Hydin,Bhlhe22,C1ql1,Calb2,Reln
Macrophages	Top2a,Reln,Tmem119,Trem2,Apoe
Microglia	Ccna2,Rrm2,Top2a,Apoe,Tmem119,Trem2
NIPCs	Sp9,Olig1,Igfbpl1,Hepacam,Olig2,Top2a,Ccna2,Rrm2
OPCs	Cxcl14,Neu4,Olig2,Olig1,C1ql1,Pdgfra
RGL	Foxj1,Cxcl14,Hepacam,Apoe,Gfap,Riiad1,Aldoc
Vasc1	Ccna2,Top2a,Kcnj8
Vasc2	Ptprb,Aqp1,Apoe,Pdgfra,Tmem119,Dcn
Vasc3	Npy,Apoe,Pdgfra,Kcnj8,Tmem119,Dcn
